Mucosal Defence,Antigen presenting,Hypoxia Stress,Cell Cycling,Oxidative Stress,Mesenchymal,Terminal Differentiation,Quiescent Progenitor,Reactive Oxygen Stress
SLC9A3R1,WFDC2,EDN2,KPNA2,MAP1B,,SLPI,RPL37A,C9orf16
SERPINB13,BST2,FSCN1,TUBA1B,GPX2,,CD24,RPS5,AGTRAP
TRIM29,CXCL8,IFI27,TROAP,SRPRB,,EPS8L1,RPL15,KRT6C
DSP,IFI30,APP,RRM2,IGFL2-AS1,,MUC21,RPS27,CT69
CLDN7,C1S,SLC38A2,CEP55,PFN2,,IVL,RPS9,C1QTNF12
KRT5,ACTB,WSB1,MKI67,COA6,,RHCG,RPL17,C4orf3
CES2,MYL12A,FST,H2AFZ,CNPY3,,MAL,RPL22,FADD
MAL2,CXCL2,SGK1,CENPW,UGT1A6,,TMPRSS11E,TSC22D1,S100A7A
LGALS7,PSMB8,POLR2A,CENPE,FTL,,IL1RN,RPS21,PSMB3
DSG3,FXYD5,GADD45B,CENPN,GPNMB,,KLK7,RPL13A,ELOB
MGST2,PSME1,CTTN,HMGB2,PPT1,,CSTA,JUNB,MT1F
CLDN4,IGKV4-1,MFAP2,STMN1,SCD,,MALL,FOS,CD68
IGFBP2,MMP10,CLDN1,PTTG1,CTSC,,ANXA1,NR4A1,TPI1
SFN,MMP7,HSPA5,SMC4,EPHX1,,SERPINB3,RPL12,SSR4
KRT6C,CD151,IL32,CKS1B,G6PD,,S100A7,RPL21,SPRR1B
EMP1,HSPA8,TNS4,CKAP2,DHCR7,,PDZK1IP1,RPL7,AL445524.1
CD82,IFITM2,MSN,TYMS,AKR1C2,,CEACAM5,RPL5,TMSB4X
ITM2B,SAA1,AC023157.3,HMGB1,PRDX1,,SERPINB1,RPLP0,FSCN1
JUP,SOD2,TNFRSF12A,HMGN2,MGST1,,PSCA,BTG2,PDCD6
TXN,LGALS3BP,UBR4,TK1,CBR1,,SERPINB4,RPLP2,KYNU
PKP3,SERTAD1,LDHA,CKS2,RPL7L1,,SERPINB2,RPL4,EREG
CSTB,EMP3,ERO1A,TUBB,YWHAZ,,CNFN,RPL31,FAM162A
ATP5F1A,LY6E,AHNAK2,PCLAF,CTSB,,SPINK5,ETS2,VAMP8
EEF1B2,CD63,ENO1,ANP32E,SERPINH1,,KRT16,FOSB,SUB1
PPP1R14B,PYCARD,CAV1,H2AFV,SPTSSA,,KLK10,ZFP36L2,SEM1
PTN,PSME2,S100A10,CALM2,MRPS18A,,TMEM40,RPSA,PPDPF
FABP5,LITAF,RAI14,TYMSOS,CACYBP,,KLK11,RPL37,CFL1
HEBP2,MRPL50,CALR,TMPO,ZFAND2A,,CLCA4,IRF1,BSG
SERPINB3,AREG,VEGFA,NUDT1,PGD,,SERPINB13,IER2,
S100A8,IGHG1,RHOB,KIF22,KLHDC3,,KRT6A,PHLDA1,
LAD1,TNFAIP3,VIM,NUCKS1,FXYD3,,MAL2,RPS29,
ATP5F1D,PTGES,ARPC1B,RAN,MRPL2,,PRSS22,KLF4,
DEFB1,FHL2,P3H2,ILF2,ZNF706,,GJB2,PLK2,
PERP,DCN,CDC37,BUB3,PDIA3,,HOPX,ZFP36,
SERPINB1,CXCL3,PPFIA1,SNRPG,DNAJB4,,PPDPF,NCOA7,
